Measurement date,Measurement time,Site,Instrument,UV Total Index,Level,Data Quality
22/01/2022,14:00:00,Reading,DM150,0.2,R,G
22/01/2022,13:30:00,Reading,DM150,0.2,R,G
22/01/2022,13:00:00,Reading,DM150,0.3,R,G
22/01/2022,12:30:00,Reading,DM150,0.3,R,G
22/01/2022,12:00:00,Reading,DM150,0.4,R,G
22/01/2022,11:30:00,Reading,DM150,0.3,R,G
22/01/2022,11:00:00,Reading,DM150,0.3,R,G
22/01/2022,10:30:00,Reading,DM150,0.3,R,G
22/01/2022,10:00:00,Reading,DM150,0.2,R,G
22/01/2022,09:30:00,Reading,DM150,0.2,R,G
22/01/2022,09:00:00,Reading,DM150,0.1,R,G
21/01/2022,16:00:00,Reading,DM150,0,R,G
21/01/2022,15:30:00,Reading,DM150,0.1,R,G
21/01/2022,15:00:00,Reading,DM150,0.1,R,G
21/01/2022,14:30:00,Reading,DM150,0.1,R,G
21/01/2022,14:00:00,Reading,DM150,0.2,R,G
21/01/2022,13:30:00,Reading,DM150,0.3,R,G
21/01/2022,13:00:00,Reading,DM150,0.3,R,G
21/01/2022,12:30:00,Reading,DM150,0.3,R,G
21/01/2022,12:00:00,Reading,DM150,0.3,R,G
21/01/2022,11:30:00,Reading,DM150,0.4,R,G
21/01/2022,11:00:00,Reading,DM150,0.4,R,G
21/01/2022,10:30:00,Reading,DM150,0.3,R,G
21/01/2022,10:00:00,Reading,DM150,0.2,R,G
21/01/2022,09:30:00,Reading,DM150,0.2,R,G
21/01/2022,09:00:00,Reading,DM150,0.1,R,G
20/01/2022,16:00:00,Reading,DM150,0,R,G
20/01/2022,15:30:00,Reading,DM150,0.1,R,G
20/01/2022,15:00:00,Reading,DM150,0.2,R,G
20/01/2022,14:30:00,Reading,DM150,0.3,R,G
20/01/2022,14:00:00,Reading,DM150,0.5,R,G
20/01/2022,13:30:00,Reading,DM150,0.6,R,G
20/01/2022,13:00:00,Reading,DM150,0.7,R,G
20/01/2022,12:30:00,Reading,DM150,0.7,R,G
20/01/2022,12:00:00,Reading,DM150,0.7,R,G
20/01/2022,11:30:00,Reading,DM150,0.7,R,G
20/01/2022,11:00:00,Reading,DM150,0.6,R,G
20/01/2022,10:30:00,Reading,DM150,0.5,R,G
20/01/2022,10:00:00,Reading,DM150,0.4,R,G
20/01/2022,09:30:00,Reading,DM150,0.2,R,G
20/01/2022,09:00:00,Reading,DM150,0.1,R,G
19/01/2022,16:00:00,Reading,DM150,0,R,P
19/01/2022,15:30:00,Reading,DM150,0.1,R,G
19/01/2022,15:00:00,Reading,DM150,0.2,R,G
19/01/2022,14:30:00,Reading,DM150,0.3,R,G
19/01/2022,14:00:00,Reading,DM150,0.3,R,G
19/01/2022,13:30:00,Reading,DM150,0.2,R,G
19/01/2022,13:00:00,Reading,DM150,0.2,R,G
19/01/2022,12:30:00,Reading,DM150,0.3,R,G
19/01/2022,12:00:00,Reading,DM150,0.4,R,G
19/01/2022,11:30:00,Reading,DM150,0.5,R,G
19/01/2022,11:00:00,Reading,DM150,0.4,R,G
19/01/2022,10:30:00,Reading,DM150,0.3,R,G
19/01/2022,10:00:00,Reading,DM150,0.1,R,G
19/01/2022,09:30:00,Reading,DM150,0.1,R,G
19/01/2022,09:00:00,Reading,DM150,0.1,R,G
18/01/2022,16:00:00,Reading,DM150,0,R,P
18/01/2022,15:30:00,Reading,DM150,0.1,R,G
18/01/2022,15:00:00,Reading,DM150,0.1,R,G
18/01/2022,14:30:00,Reading,DM150,0.3,R,G
18/01/2022,14:00:00,Reading,DM150,0.4,R,G
18/01/2022,13:30:00,Reading,DM150,0.2,R,G
18/01/2022,13:00:00,Reading,DM150,0.4,R,G
18/01/2022,12:30:00,Reading,DM150,0.3,R,G
18/01/2022,12:00:00,Reading,DM150,0.3,R,G
18/01/2022,11:30:00,Reading,DM150,0.3,R,G
18/01/2022,11:00:00,Reading,DM150,0.4,R,G
18/01/2022,10:30:00,Reading,DM150,0.4,R,G
18/01/2022,10:00:00,Reading,DM150,0.3,R,G
18/01/2022,09:30:00,Reading,DM150,0.2,R,G
18/01/2022,09:00:00,Reading,DM150,0.1,R,G
17/01/2022,16:00:00,Reading,DM150,0,R,P
17/01/2022,15:30:00,Reading,DM150,0.1,R,G
17/01/2022,15:00:00,Reading,DM150,0.2,R,G
17/01/2022,14:30:00,Reading,DM150,0.3,R,G
17/01/2022,14:00:00,Reading,DM150,0.4,R,G
17/01/2022,13:30:00,Reading,DM150,0.5,R,G
17/01/2022,13:00:00,Reading,DM150,0.6,R,G
17/01/2022,12:30:00,Reading,DM150,0.7,R,G
17/01/2022,12:00:00,Reading,DM150,0.7,R,G
17/01/2022,11:30:00,Reading,DM150,0.6,R,G
17/01/2022,11:00:00,Reading,DM150,0.6,R,G
17/01/2022,10:30:00,Reading,DM150,0.4,R,G
17/01/2022,10:00:00,Reading,DM150,0.3,R,G
17/01/2022,09:30:00,Reading,DM150,0.2,R,G
17/01/2022,09:00:00,Reading,DM150,0.1,R,G
16/01/2022,16:00:00,Reading,DM150,0,R,P
16/01/2022,15:30:00,Reading,DM150,0.1,R,G
16/01/2022,15:00:00,Reading,DM150,0.2,R,G
16/01/2022,14:30:00,Reading,DM150,0.3,R,G
16/01/2022,14:00:00,Reading,DM150,0.3,R,G
16/01/2022,13:30:00,Reading,DM150,0.4,R,G
16/01/2022,13:00:00,Reading,DM150,0.5,R,G
16/01/2022,12:30:00,Reading,DM150,0.6,R,G
16/01/2022,12:00:00,Reading,DM150,0.5,R,G
16/01/2022,11:30:00,Reading,DM150,0.5,R,G
16/01/2022,11:00:00,Reading,DM150,0.4,R,G
16/01/2022,10:30:00,Reading,DM150,0.3,R,G
16/01/2022,10:00:00,Reading,DM150,0.2,R,G
16/01/2022,09:30:00,Reading,DM150,0.1,R,G
16/01/2022,09:00:00,Reading,DM150,0.1,R,G
15/01/2022,16:00:00,Reading,DM150,0,R,P
15/01/2022,15:30:00,Reading,DM150,0,R,G
15/01/2022,15:00:00,Reading,DM150,0.1,R,G
15/01/2022,14:30:00,Reading,DM150,0.1,R,G
15/01/2022,14:00:00,Reading,DM150,0.2,R,G
15/01/2022,13:30:00,Reading,DM150,0.4,R,G
15/01/2022,13:00:00,Reading,DM150,0.5,R,G
15/01/2022,12:30:00,Reading,DM150,0.6,R,G
15/01/2022,11:30:00,Reading,DM150,0.3,R,G
15/01/2022,11:00:00,Reading,DM150,0.3,R,G
15/01/2022,10:30:00,Reading,DM150,0.2,R,G
15/01/2022,10:00:00,Reading,DM150,0.1,R,G
15/01/2022,09:30:00,Reading,DM150,0.1,R,G
15/01/2022,09:00:00,Reading,DM150,0.1,R,G
14/01/2022,16:00:00,Reading,DM150,0,R,P
14/01/2022,15:30:00,Reading,DM150,0.1,R,G
14/01/2022,15:00:00,Reading,DM150,0.2,R,G
14/01/2022,14:30:00,Reading,DM150,0.3,R,G
14/01/2022,14:00:00,Reading,DM150,0.4,R,G
14/01/2022,13:30:00,Reading,DM150,0.5,R,G
14/01/2022,13:00:00,Reading,DM150,0.5,R,G
14/01/2022,12:30:00,Reading,DM150,0.6,R,G
14/01/2022,12:00:00,Reading,DM150,0.6,R,G
14/01/2022,11:30:00,Reading,DM150,0.6,R,G
14/01/2022,11:00:00,Reading,DM150,0.5,R,G
14/01/2022,10:30:00,Reading,DM150,0.4,R,G
14/01/2022,10:00:00,Reading,DM150,0.3,R,G
14/01/2022,09:30:00,Reading,DM150,0.2,R,G
14/01/2022,09:00:00,Reading,DM150,0.1,R,G
13/01/2022,16:00:00,Reading,DM150,0,R,P
